TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
product.SpeciesProp.managed.FDC,31,false,false,false,1.0,false,false
product.SpeciesProp.managed.HW,31,false,false,false,1.0,false,false
product.SpeciesProp.managed.PLC,31,false,false,false,1.0,false,false
product.SpeciesProp.managed.SS,31,false,false,false,1.0,false,false
product.SpeciesProp.managed.YC,31,false,false,false,1.0,false,false
product.Treated.managed.CC,31,false,false,false,1.0,false,false
product.Yield.managed.BA,31,false,false,false,1.0,false,false
product.Yield.managed.CW,31,false,false,false,1.0,false,false
product.Yield.managed.FDC,31,false,false,false,1.0,false,false
product.Yield.managed.HW,31,false,false,false,1.0,false,false
product.Yield.managed.SS,31,false,false,false,1.0,false,false
product.Yield.managed.Total,31,true,true,true,1.0,false,false
product.Yield.managed.YC,31,false,false,false,1.0,false,false
