GROUP,ATTRIBUTE,ACCOUNT,SUM
_ALL_,feature.Seral.CWHvm_HW_FDC_H.regenerating,feature.Seral.CWHvm_HW_FDC_H.regenerating,1
_ALL_,feature.Seral.CWHvm_HW_FDC_H.young,feature.Seral.CWHvm_HW_FDC_H.young,1
_ALL_,feature.Seral.CWHvm_HW_FDC_L.immature,feature.Seral.CWHvm_HW_FDC_L.immature,1
_ALL_,feature.Seral.CWHvm_HW_FDC_L.mature,feature.Seral.CWHvm_HW_FDC_L.mature,1
_ALL_,feature.Seral.CWHvm_HW_FDC_L.overmature,feature.Seral.CWHvm_HW_FDC_L.overmature,1
_ALL_,feature.Seral.CWHvm_HW_FDC_L.regenerating,feature.Seral.CWHvm_HW_FDC_L.regenerating,1
_ALL_,feature.Seral.CWHvm_HW_FDC_L.young,feature.Seral.CWHvm_HW_FDC_L.young,1
_ALL_,feature.Seral.CWHvm_HW_SS_M.immature,feature.Seral.CWHvm_HW_SS_M.immature,1
_ALL_,feature.Seral.CWHvm_HW_SS_M.mature,feature.Seral.CWHvm_HW_SS_M.mature,1
_ALL_,feature.Seral.CWHvm_HW_SS_M.overmature,feature.Seral.CWHvm_HW_SS_M.overmature,1
_ALL_,feature.Seral.CWHvm_HW_SS_M.regenerating,feature.Seral.CWHvm_HW_SS_M.regenerating,1
_ALL_,feature.Seral.CWHvm_HW_SS_M.young,feature.Seral.CWHvm_HW_SS_M.young,1
_ALL_,feature.Seral.immature,feature.Seral.immature,1
_ALL_,feature.Seral.mature,feature.Seral.mature,1
_ALL_,feature.Seral.overmature,feature.Seral.overmature,1
_ALL_,feature.Seral.regenerating,feature.Seral.regenerating,1
_ALL_,feature.Seral.young,feature.Seral.young,1
_MANAGED_,feature.SpeciesProp.managed.BA,feature.SpeciesProp.managed.BA,1
_MANAGED_,feature.SpeciesProp.managed.CW,feature.SpeciesProp.managed.CW,1
_MANAGED_,feature.SpeciesProp.managed.DR,feature.SpeciesProp.managed.DR,1
_MANAGED_,feature.SpeciesProp.managed.FDC,feature.SpeciesProp.managed.FDC,1
_MANAGED_,feature.SpeciesProp.managed.HW,feature.SpeciesProp.managed.HW,1
_MANAGED_,feature.SpeciesProp.managed.PLC,feature.SpeciesProp.managed.PLC,1
_MANAGED_,feature.SpeciesProp.managed.SS,feature.SpeciesProp.managed.SS,1
_MANAGED_,feature.SpeciesProp.managed.YC,feature.SpeciesProp.managed.YC,1
_UNMANAGED_,feature.SpeciesProp.unmanaged.BA,feature.SpeciesProp.unmanaged.BA,1
_UNMANAGED_,feature.SpeciesProp.unmanaged.CW,feature.SpeciesProp.unmanaged.CW,1
_UNMANAGED_,feature.SpeciesProp.unmanaged.DR,feature.SpeciesProp.unmanaged.DR,1
_UNMANAGED_,feature.SpeciesProp.unmanaged.FDC,feature.SpeciesProp.unmanaged.FDC,1
_UNMANAGED_,feature.SpeciesProp.unmanaged.HW,feature.SpeciesProp.unmanaged.HW,1
_UNMANAGED_,feature.SpeciesProp.unmanaged.PLC,feature.SpeciesProp.unmanaged.PLC,1
_UNMANAGED_,feature.SpeciesProp.unmanaged.SS,feature.SpeciesProp.unmanaged.SS,1
_UNMANAGED_,feature.SpeciesProp.unmanaged.YC,feature.SpeciesProp.unmanaged.YC,1
_MANAGED_,feature.StemsPerHa.managed.CWHvm_CW_HW_M,feature.StemsPerHa.managed.CWHvm_CW_HW_M,0.0090407224457
_MANAGED_,feature.StemsPerHa.managed.CWHvm_DR_HW_M,feature.StemsPerHa.managed.CWHvm_DR_HW_M,0.0284720504464
_MANAGED_,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,0.00811717881294
